ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	32	-0.378483905274098	-2.11294496002707	0.00275166233325404	0.00900544036337687	0.00342312060596197	444	tags=53%, list=24%, signal=41%	ENSG00000072682/ENSG00000115163/ENSG00000076716/ENSG00000087586/ENSG00000134755/ENSG00000153208/ENSG00000011465/ENSG00000044446/ENSG00000024526/ENSG00000086062/ENSG00000147257/ENSG00000057294/ENSG00000131724/ENSG00000146674/ENSG00000112984/ENSG00000130635/ENSG00000120708
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	16	-0.475875310338787	-2.00372033268426	0.00391892131696307	0.0108523974931285	0.00412518033364534	341	tags=56%, list=19%, signal=46%	ENSG00000076554/ENSG00000166710/ENSG00000196924/ENSG00000163131/ENSG00000122641/ENSG00000162645/ENSG00000090339/ENSG00000102265/ENSG00000134954
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	10	-0.557296500603751	-1.96291858690836	0.00379126823902757	0.0108523974931285	0.00412518033364534	691	tags=90%, list=38%, signal=56%	ENSG00000169919/ENSG00000011422/ENSG00000135842/ENSG00000164294/ENSG00000116285/ENSG00000131981/ENSG00000164111/ENSG00000163191/ENSG00000131069
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	28	-0.38245049988317	-2.04117507201409	0.0065285437714896	0.0161605036698318	0.00614288151192438	862	tags=82%, list=47%, signal=44%	ENSG00000173207/ENSG00000253729/ENSG00000101224/ENSG00000122966/ENSG00000126787/ENSG00000135476/ENSG00000157456/ENSG00000170312/ENSG00000213347/ENSG00000142945/ENSG00000178999/ENSG00000065911/ENSG00000183765/ENSG00000139734/ENSG00000138778/ENSG00000111665/ENSG00000076382/ENSG00000166851/ENSG00000117399/ENSG00000087586/ENSG00000024526/ENSG00000131747/ENSG00000186185
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	28	-0.377129353855309	-2.0127756042923	0.00797929916331527	0.0161605036698318	0.00614288151192438	732	tags=71%, list=40%, signal=44%	ENSG00000099860/ENSG00000042493/ENSG00000163814/ENSG00000135124/ENSG00000197879/ENSG00000135318/ENSG00000197081/ENSG00000124942/ENSG00000164220/ENSG00000101444/ENSG00000106546/ENSG00000273749/ENSG00000198959/ENSG00000059804/ENSG00000148834/ENSG00000147872/ENSG00000143369/ENSG00000144802/ENSG00000134107/ENSG00000142089
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	32	-0.346387284290116	-1.93376060741136	0.00724455066720545	0.0161605036698318	0.00614288151192438	308	tags=44%, list=17%, signal=37%	ENSG00000005893/ENSG00000131981/ENSG00000109861/ENSG00000239713/ENSG00000163131/ENSG00000197635/ENSG00000149131/ENSG00000164111/ENSG00000157227/ENSG00000134871/ENSG00000104368/ENSG00000102265/ENSG00000106366/ENSG00000115414
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	21	-0.409555564055472	-1.91062626031651	0.00811704765997302	0.0161605036698318	0.00614288151192438	981	tags=95%, list=54%, signal=45%	ENSG00000140612/ENSG00000104687/ENSG00000070669/ENSG00000012660/ENSG00000161011/ENSG00000163655/ENSG00000134109/ENSG00000092621/ENSG00000115461/ENSG00000065911/ENSG00000135842/ENSG00000169679/ENSG00000127022/ENSG00000166851/ENSG00000087586/ENSG00000059804/ENSG00000109861/ENSG00000128228/ENSG00000149257/ENSG00000134107
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	17	-0.436519085358344	-1.89456369459578	0.00852915471463347	0.0161605036698318	0.00614288151192438	955	tags=94%, list=52%, signal=45%	ENSG00000104687/ENSG00000012660/ENSG00000102172/ENSG00000124225/ENSG00000074695/ENSG00000096060/ENSG00000154734/ENSG00000184254/ENSG00000170421/ENSG00000171345/ENSG00000153208/ENSG00000072110/ENSG00000076554/ENSG00000166710/ENSG00000086062/ENSG00000110092
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	13	-0.479596562564406	-1.84579247692562	0.00716935337490808	0.0161605036698318	0.00614288151192438	430	tags=62%, list=23%, signal=47%	ENSG00000125347/ENSG00000078081/ENSG00000166710/ENSG00000182179/ENSG00000064012/ENSG00000162645/ENSG00000142089/ENSG00000185885
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	22	-0.364607151298393	-1.72169261224554	0.0129515562137502	0.0233128011847504	0.00886159109361856	933	tags=86%, list=51%, signal=43%	ENSG00000117791/ENSG00000152583/ENSG00000167772/ENSG00000167315/ENSG00000112769/ENSG00000177697/ENSG00000164237/ENSG00000126561/ENSG00000127083/ENSG00000170323/ENSG00000109113/ENSG00000174804/ENSG00000148175/ENSG00000177469/ENSG00000130203/ENSG00000147872/ENSG00000065534/ENSG00000187498/ENSG00000204291
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	12	-0.45414548125867	-1.70310698500261	0.0172036250726708	0.0294919286960071	0.0112103822528682	535	tags=67%, list=29%, signal=47%	ENSG00000184557/ENSG00000125347/ENSG00000175899/ENSG00000145431/ENSG00000131724/ENSG00000139269/ENSG00000115594/ENSG00000145623
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	30	-0.30351253780337	-1.63792778071414	0.0263565844758029	0.0431289564149502	0.0163940477600688	944	tags=80%, list=52%, signal=39%	ENSG00000120690/ENSG00000158747/ENSG00000150687/ENSG00000012660/ENSG00000197321/ENSG00000198682/ENSG00000147394/ENSG00000173156/ENSG00000136068/ENSG00000141753/ENSG00000136826/ENSG00000096060/ENSG00000185697/ENSG00000114315/ENSG00000170421/ENSG00000115641/ENSG00000171345/ENSG00000198959/ENSG00000086062/ENSG00000110092/ENSG00000169083/ENSG00000138119/ENSG00000134107/ENSG00000054598
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	10	-0.465004908192698	-1.63784767409487	0.0297641390075591	0.0465873480118317	0.017708641057129	267	tags=50%, list=15%, signal=43%	ENSG00000174640/ENSG00000133110/ENSG00000204262/ENSG00000168542/ENSG00000102265
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	32	-0.281819870122175	-1.57330302798184	0.050520059435364	0.0745631067961165	0.0283427014137285	709	tags=59%, list=39%, signal=37%	ENSG00000189056/ENSG00000002933/ENSG00000137033/ENSG00000136826/ENSG00000011422/ENSG00000122861/ENSG00000184254/ENSG00000131459/ENSG00000136235/ENSG00000136732/ENSG00000163131/ENSG00000122641/ENSG00000116132/ENSG00000146674/ENSG00000131620/ENSG00000104368/ENSG00000099953/ENSG00000134954/ENSG00000167244
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	22	-0.329461328832241	-1.55573233780829	0.0517799352750809	0.0745631067961165	0.0283427014137285	1019	tags=86%, list=56%, signal=39%	ENSG00000106565/ENSG00000184500/ENSG00000104687/ENSG00000165795/ENSG00000012660/ENSG00000198682/ENSG00000157557/ENSG00000135929/ENSG00000111885/ENSG00000168306/ENSG00000141753/ENSG00000101444/ENSG00000148834/ENSG00000130203/ENSG00000115594/ENSG00000143819/ENSG00000169738/ENSG00000077942/ENSG00000106366
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	32	-0.278836959160352	-1.55665046602303	0.0549777117384844	0.0761229854840553	0.0289356377570971	238	tags=88%, list=13%, signal=77%	ENSG00000130707/ENSG00000114737/ENSG00000107562/ENSG00000188488/ENSG00000112759/ENSG00000158747/ENSG00000150687/ENSG00000106484/ENSG00000012660/ENSG00000198682/ENSG00000168306/ENSG00000136068/ENSG00000141753/ENSG00000136826/ENSG00000096060/ENSG00000171345/ENSG00000117399/ENSG00000110492/ENSG00000110092/ENSG00000141401/ENSG00000145824/ENSG00000112378/ENSG00000131747/ENSG00000169738/ENSG00000138119/ENSG00000105974/ENSG00000054598/ENSG00000112984
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	17	-0.347709115051913	-1.50911400613011	0.0673076923076923	0.0897435897435897	0.0341130604288499	313	tags=41%, list=17%, signal=34%	ENSG00000156427/ENSG00000172270/ENSG00000143819/ENSG00000069974/ENSG00000157227/ENSG00000090339/ENSG00000139219
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	33	-0.270444439816201	-1.52489514671325	0.0718562874251497	0.0923866552609068	0.0351177344559002	993	tags=79%, list=54%, signal=37%	ENSG00000112742/ENSG00000013810/ENSG00000145386/ENSG00000137812/ENSG00000173207/ENSG00000149503/ENSG00000117724/ENSG00000101224/ENSG00000134250/ENSG00000135476/ENSG00000157456/ENSG00000170312/ENSG00000198901/ENSG00000142945/ENSG00000178999/ENSG00000169679/ENSG00000135451/ENSG00000138778/ENSG00000166851/ENSG00000115163/ENSG00000117399/ENSG00000087586/ENSG00000110092/ENSG00000137807/ENSG00000131747/ENSG00000088325
