Gene ID	Gene Name	SRR1027602	SRR1027592	SRR1027598	SRR1027591	SRR1027600	SRR1027596	SRR1027601	SRR1027599	SRR1027605	SRR1027604	SRR1027595	SRR1027594	SRR1027593	SRR1027597	SRR1027603	SRR1027606
ENSG00000004779	NDUFAB1	413	434	440	429	433	542	478	448	769	498	500	555	536	479	513	790
ENSG00000004799	PDK4	48	172	17	183	159	105	49	164	94	149	97	70	53	21	132	119
ENSG00000004809	SLC22A16	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
ENSG00000004838	ZMYND10	417	404	73	441	428	334	401	417	391	113	321	92	89	72	106	380
ENSG00000004846	ABCB5	0	0	2	2	0	0	0	0	0	0	1	0	0	3	1	0
ENSG00000004848	ARX	600	1019	609	1021	966	189	608	994	739	440	180	80	68	578	413	851
ENSG00000004864	SLC25A13	220	403	329	427	260	278	235	236	337	129	287	146	172	313	114	368
ENSG00000004866	ST7	431	262	329	294	375	385	400	393	590	763	436	877	889	319	706	626
ENSG00000004897	CDC27	646	892	832	857	553	773	623	586	960	647	843	561	594	717	667	942
ENSG00000004939	SLC4A1	1	1	1	1	3	2	0	2	1	2	2	1	4	1	3	3
ENSG00000004948	CALCR	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1
ENSG00000004961	HCCS	219	202	173	214	187	222	228	202	308	193	231	141	162	175	187	289
ENSG00000004975	DVL2	705	1018	911	1017	567	615	704	545	910	883	642	920	916	818	824	859
ENSG00000005001	PRSS22	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005007	UPF1	1343	1729	1297	1774	1132	1297	1331	1185	1675	2188	1264	1426	1514	1318	2255	1666
ENSG00000005020	SKAP2	1913	1179	806	1234	1675	2531	1907	1704	2496	1638	2550	2593	2517	775	1545	2479
ENSG00000005022	SLC25A5	1414	1673	1911	1567	1216	1623	1479	1178	2333	1899	1568	2915	3043	2047	1941	2246
ENSG00000005059	MCUB	154	501	287	458	117	151	156	138	167	48	162	65	80	254	64	182
ENSG00000005073	HOXA11	0	3	199	1	1	0	2	0	0	3	1	3	0	199	1	0
ENSG00000005075	POLR2J	199	255	186	252	166	217	213	181	344	159	224	210	206	235	199	322
ENSG00000005100	DHX33	449	548	365	575	399	487	480	375	595	602	462	412	394	377	607	554
ENSG00000005102	MEOX1	5	6	43	3	0	6	5	0	1	1	5	1	2	42	0	1
ENSG00000005108	THSD7A	690	256	318	281	422	632	674	423	613	492	638	382	427	337	478	612
ENSG00000005156	LIG3	617	914	693	915	528	696	600	497	843	1219	678	912	916	686	1339	875
ENSG00000005175	RPAP3	399	505	351	556	403	461	380	372	628	390	490	271	267	355	335	636
ENSG00000005187	ACSM3	2	3	29	0	0	2	3	2	4	1	3	5	8	22	3	3
ENSG00000005189	REXO5	97	125	61	120	79	91	86	88	128	120	79	86	58	73	106	143
ENSG00000005194	CIAPIN1	759	689	602	686	636	779	798	657	1114	683	801	607	555	643	732	1056
ENSG00000005206	SPPL2B	579	1043	465	1047	488	476	586	501	506	976	528	665	713	497	899	475
ENSG00000005238	FAM214B	482	604	458	645	402	480	475	436	550	613	471	577	595	488	650	531
ENSG00000005243	COPZ2	24	47	148	52	27	63	35	39	38	14	62	22	22	142	17	29
ENSG00000005249	PRKAR2B	1168	1465	1004	1367	1350	1496	1161	1396	1962	1589	1448	993	952	1062	1588	2043
ENSG00000005302	MSL3	322	442	289	428	285	356	299	278	439	408	372	362	364	297	414	456
ENSG00000005339	CREBBP	1634	2400	2128	2345	1544	1698	1760	1603	2351	2500	1694	1906	1865	2055	2666	2340
ENSG00000005379	TSPOAP1	688	757	376	800	593	600	729	593	672	1476	641	734	762	389	1556	682
ENSG00000005381	MPO	0	3	0	0	1	2	0	3	1	3	1	20	25	0	1	4
ENSG00000005421	PON1	0	0	0	0	2	1	0	0	1	1	1	2	0	1	0	1
ENSG00000005436	GCFC2	139	232	204	246	140	161	133	113	193	168	181	162	138	206	164	207
ENSG00000005448	WDR54	938	1203	865	1165	808	839	903	789	1184	656	852	636	643	927	699	1144
ENSG00000005469	CROT	131	235	160	175	104	142	150	135	122	61	154	49	40	168	69	125
ENSG00000005471	ABCB4	4	60	13	58	12	23	5	13	10	17	29	11	10	14	17	11
ENSG00000005483	KMT2E	2324	2892	2161	3044	1844	1931	2273	1908	3020	3787	1969	2888	2870	2152	4001	2874
ENSG00000005486	RHBDD2	2092	2193	1568	2211	2110	2437	2065	2051	2848	2399	2409	2033	1872	1592	2296	2878
ENSG00000005513	SOX8	161	322	179	357	178	269	169	148	319	574	278	201	185	188	606	354
ENSG00000005700	IBTK	798	1022	851	998	762	781	834	672	939	648	833	458	427	882	603	974
ENSG00000005801	ZNF195	726	759	434	736	538	610	779	562	914	1130	605	915	985	490	1109	944
ENSG00000005810	MYCBP2	1195	1187	1023	1226	1067	1410	1187	1101	1727	2037	1451	1098	1131	1012	2058	1709
ENSG00000005812	FBXL3	284	420	343	409	276	295	312	302	405	338	347	289	352	330	320	418
ENSG00000005844	ITGAL	3	2	1	7	1	1	0	0	1	3	4	4	5	3	2	2
ENSG00000005882	PDK2	307	377	408	337	251	304	287	264	362	248	329	140	146	415	274	334
ENSG00000005884	ITGA3	176	265	266	260	210	314	169	194	144	339	328	146	143	284	380	157
ENSG00000005889	ZFX	354	495	742	504	276	642	348	300	475	690	650	305	323	780	674	420
ENSG00000005893	LAMP2	966	1430	1468	1516	903	1217	977	926	1424	1242	1268	1172	1147	1490	1317	1463
ENSG00000005961	ITGA2B	31	35	35	31	12	24	25	12	20	100	30	100	111	28	104	21
ENSG00000005981	ASB4	1	4	1	0	0	3	1	2	3	1	1	1	0	2	4	3
ENSG00000006007	GDE1	774	892	834	906	752	858	747	711	1118	652	949	763	760	846	635	1128
ENSG00000006015	REX1BD	294	373	289	369	290	261	318	271	381	431	276	341	333	271	396	360
ENSG00000006016	CRLF1	13	19	31	15	17	20	10	19	13	16	29	9	15	39	25	8
ENSG00000006025	OSBPL7	193	291	167	293	143	163	176	129	184	487	186	402	410	164	484	157
ENSG00000006042	TMEM98	1042	1784	1428	1810	799	986	982	740	1267	540	968	439	417	1459	581	1253
ENSG00000006047	YBX2	41	37	36	33	34	59	39	44	22	20	63	18	11	31	34	28
ENSG00000006059	KRT33A	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0
ENSG00000006062	MAP3K14	103	110	89	131	83	92	96	71	105	153	113	76	96	98	148	113
ENSG00000006071	ABCC8	54	47	32	46	26	53	42	32	37	112	64	88	102	27	118	35
ENSG00000006116	CACNG3	0	3	0	2	6	0	0	8	2	0	2	9	5	0	4	7
ENSG00000006118	TMEM132A	2545	2229	1944	2369	2322	2847	2593	2357	3052	4327	2898	3614	3718	1977	4265	2865
ENSG00000006125	AP2B1	6248	7082	6141	7241	6147	7801	6398	6248	9083	12649	7783	10042	10168	6306	12826	9038
ENSG00000006128	TAC1	28	26	11	23	36	79	27	44	80	15	69	55	67	15	20	78
ENSG00000006194	ZNF263	425	475	414	496	348	378	374	370	649	940	393	764	716	414	892	628
ENSG00000006210	CX3CL1	416	316	359	293	375	508	434	410	444	449	471	112	100	395	465	450
ENSG00000006282	SPATA20	289	294	566	299	369	415	288	373	267	577	427	415	388	558	619	256
ENSG00000006283	CACNA1G	270	185	606	198	275	301	264	279	299	961	319	507	441	616	955	248
ENSG00000006327	TNFRSF12A	70	83	131	87	59	104	61	51	87	47	112	49	46	109	50	78
ENSG00000006377	DLX6	169	384	180	372	313	24	184	299	256	230	38	6	11	166	259	269
ENSG00000006432	MAP3K9	624	585	473	598	628	764	691	687	1029	1167	724	786	794	484	1271	1059
ENSG00000006451	RALA	984	1121	1004	1155	959	1159	1034	919	1573	1282	1214	1465	1475	1044	1230	1658
ENSG00000006453	BAIAP2L1	12	21	28	29	12	11	17	9	13	18	11	29	36	25	23	14
ENSG00000006459	KDM7A	297	269	290	274	209	293	309	198	386	458	272	469	513	299	526	378
ENSG00000006468	ETV1	454	903	560	805	634	393	469	710	593	494	391	160	160	645	474	557
ENSG00000006530	AGK	460	472	353	538	396	479	424	485	613	482	461	330	326	406	516	551
ENSG00000006534	ALDH3B1	120	114	83	117	158	148	105	162	141	42	156	25	30	90	45	132
ENSG00000006555	TTC22	0	3	0	3	5	6	2	3	2	4	10	6	1	0	5	1
ENSG00000006576	PHTF2	427	585	567	571	421	454	432	432	717	668	468	624	652	602	663	668
ENSG00000006606	CCL26	0	1	1	0	0	1	0	0	0	0	0	1	0	2	0	0
ENSG00000006607	FARP2	504	613	535	663	412	531	437	378	624	416	562	251	284	549	407	639
ENSG00000006611	USH1C	10	1	0	3	2	4	8	2	3	3	7	4	3	1	1	0
ENSG00000006625	GGCT	104	192	134	195	104	121	81	118	211	101	151	110	99	123	99	230
ENSG00000006634	DBF4	114	223	149	226	118	133	150	120	228	142	141	225	231	141	145	210
ENSG00000006638	TBXA2R	3	1	2	4	2	3	2	2	7	1	5	0	0	3	3	5
ENSG00000006652	IFRD1	581	647	550	657	596	671	601	628	1057	1246	667	1319	1296	542	1194	1146
ENSG00000006659	LGALS14	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000006695	COX10	198	180	171	201	153	187	191	163	278	222	190	370	363	149	247	269
ENSG00000006704	GTF2IRD1	572	659	637	619	485	476	594	462	705	1124	466	1075	1076	601	1112	733
ENSG00000006712	PAF1	1075	1197	868	1223	924	897	1077	940	1323	1047	881	1007	950	816	1072	1332
ENSG00000006715	VPS41	1074	1270	1042	1344	1035	1146	1110	950	1380	911	1175	895	922	1082	946	1284
ENSG00000006740	ARHGAP44	147	79	115	121	120	182	104	131	152	255	197	173	152	111	253	141
ENSG00000006744	ELAC2	724	879	833	905	630	838	701	672	1070	699	842	529	533	803	647	1075
ENSG00000006747	SCIN	6	20	6	12	5	10	7	9	4	8	11	8	8	9	12	4
ENSG00000006756	ARSD	196	196	315	218	163	373	188	157	185	316	368	64	73	315	301	194
ENSG00000006757	PNPLA4	153	111	153	125	116	149	130	126	96	257	149	88	84	140	272	102
ENSG00000006788	MYH13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006831	ADIPOR2	948	1214	1114	1341	929	1058	995	908	1317	985	1063	884	820	1098	987	1236
ENSG00000006837	CDKL3	16	18	11	20	8	13	16	19	28	35	12	28	17	16	28	36
ENSG00000007001	UPP2	0	4	5	5	3	3	2	4	1	9	3	2	6	0	12	3
ENSG00000007038	PRSS21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007047	MARK4	902	942	933	954	820	1033	885	841	1196	1788	1011	1575	1674	879	1769	1053
ENSG00000007062	PROM1	1099	1429	936	1361	756	1324	1090	811	1037	631	1348	387	395	925	567	1058
ENSG00000007080	CCDC124	769	841	650	906	772	816	792	723	1032	803	798	864	912	644	847	1069
ENSG00000007129	CEACAM21	2	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0
ENSG00000007168	PAFAH1B1	3473	3715	2883	3631	3210	3963	3505	3331	4745	4718	3865	2352	2414	3016	4716	4800
ENSG00000007171	NOS2	66	8	8	7	15	23	59	13	18	24	19	33	33	11	23	21
ENSG00000007174	DNAH9	187	173	33	160	184	241	177	199	156	34	248	24	26	28	45	159
ENSG00000007202	KIAA0100	1781	2753	2155	2760	1675	1828	1869	1687	2446	2697	1716	2164	2148	2107	2705	2432
ENSG00000007216	SLC13A2	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0
ENSG00000007237	GAS7	512	654	1178	641	536	968	548	521	414	785	867	332	331	1147	701	383
ENSG00000007255	TRAPPC6A	187	199	178	204	151	171	194	149	232	134	191	152	138	192	158	214
ENSG00000007264	MATK	30	11	35	15	29	46	32	33	33	23	51	6	11	41	12	39
ENSG00000007306	CEACAM7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007312	CD79B	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	2
ENSG00000007314	SCN4A	1	3	4	0	4	2	0	1	7	5	4	4	5	4	3	1
ENSG00000007341	ST7L	119	177	125	178	133	186	130	147	237	193	161	255	285	115	222	216
ENSG00000007350	TKTL1	147	149	289	116	78	114	143	75	111	53	138	44	48	252	60	92
ENSG00000007372	PAX6	1837	2342	1618	2386	1521	792	1750	1453	2149	1857	815	2098	2070	1646	1878	2209
ENSG00000007376	RPUSD1	203	234	228	243	202	245	224	219	330	192	237	165	162	212	197	329
ENSG00000007384	RHBDF1	133	280	280	236	105	193	134	100	118	224	163	281	258	304	270	138
ENSG00000007392	LUC7L	593	1037	446	1075	468	442	646	420	533	1619	492	1597	1709	434	1736	556
ENSG00000007402	CACNA2D2	910	638	589	697	727	1113	922	709	1058	1806	1170	967	1017	637	1816	1088
ENSG00000007516	BAIAP3	612	956	223	889	1084	600	595	1165	755	1108	629	726	764	204	1190	731
ENSG00000007520	TSR3	320	303	279	276	249	309	322	240	393	240	263	167	150	270	237	367
ENSG00000007541	PIGQ	544	910	511	903	609	594	547	606	590	600	689	452	474	466	602	576
ENSG00000007545	CRAMP1	211	304	211	294	180	212	251	193	290	350	231	241	258	206	389	258
ENSG00000007866	TEAD3	138	173	477	152	69	184	139	77	147	220	192	214	214	485	212	139
ENSG00000007908	SELE	0	3	1	1	3	0	0	2	1	0	1	0	0	1	0	1
ENSG00000007923	DNAJC11	535	633	469	591	487	557	549	485	680	366	581	225	232	459	371	667
ENSG00000007933	FMO3	0	0	12	1	0	2	0	0	0	0	3	0	0	10	0	2
ENSG00000007944	MYLIP	182	176	284	181	123	244	176	159	237	310	250	206	234	275	294	256
ENSG00000007952	NOX1	7	6	3	12	0	2	3	6	4	4	7	4	1	6	2	10
ENSG00000007968	E2F2	151	236	103	248	83	107	173	94	195	22	113	38	46	114	35	178
ENSG00000008018	PSMB1	1223	1383	1516	1459	1205	1529	1232	1148	1957	1113	1500	1082	1089	1539	1137	2011
ENSG00000008056	SYN1	513	417	394	433	801	929	567	782	774	1166	944	689	659	350	1182	770
ENSG00000008083	JARID2	824	1067	667	936	718	846	830	740	1248	1578	828	1255	1250	758	1572	1316
ENSG00000008086	CDKL5	330	279	266	274	276	318	349	258	396	609	368	448	425	277	603	420
ENSG00000008118	CAMK1G	46	60	44	73	44	59	24	51	46	211	47	56	51	56	228	65
ENSG00000008128	CDK11A	14	34	18	38	11	6	19	10	20	52	13	66	62	26	49	14
ENSG00000008130	NADK	519	677	515	664	409	514	539	472	616	547	549	459	467	541	541	643
ENSG00000008196	TFAP2B	610	40	129	57	171	244	597	184	139	21	241	59	45	147	14	158
ENSG00000008197	TFAP2D	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000008226	DLEC1	44	93	10	80	47	31	31	49	34	18	37	19	18	16	24	32
ENSG00000008256	CYTH3	478	534	810	540	447	542	417	421	634	698	503	566	611	790	721	668
ENSG00000008277	ADAM22	674	772	615	792	635	628	650	646	880	1034	595	597	541	569	1000	829
ENSG00000008282	SYPL1	367	586	670	566	339	521	356	315	420	373	522	355	353	648	418	453
ENSG00000008283	CYB561	271	398	211	412	298	320	300	317	319	147	351	70	70	222	139	330
ENSG00000008294	SPAG9	3137	4464	2702	4448	2842	2771	3019	2821	4140	5931	2918	3538	3667	2763	5964	4005
ENSG00000008300	CELSR3	1733	1711	1069	1783	1488	1577	1855	1490	2663	5531	1585	3662	3673	1141	5581	2523
ENSG00000008311	AASS	228	642	268	653	181	198	233	204	216	170	167	125	131	296	217	207
ENSG00000008323	PLEKHG6	3	4	6	4	0	3	7	2	4	3	5	1	1	2	2	5
ENSG00000008324	SS18L2	84	130	95	137	109	106	104	89	180	120	104	109	104	98	120	162
ENSG00000008382	MPND	266	314	226	267	208	246	259	257	281	195	238	209	228	212	214	282
ENSG00000008394	MGST1	615	423	242	398	385	414	562	375	626	279	408	250	259	220	256	649
ENSG00000008405	CRY1	575	756	455	724	547	747	627	495	826	715	753	542	548	482	661	785
ENSG00000008438	PGLYRP1	0	0	0	5	0	4	0	0	3	6	0	3	1	0	6	0
ENSG00000008441	NFIX	187	777	2345	772	175	372	158	179	181	65	370	25	27	2277	78	180
ENSG00000008513	ST3GAL1	270	150	289	168	214	145	281	198	338	423	156	305	313	269	434	312
ENSG00000008516	MMP25	4	12	4	3	3	2	2	1	2	8	5	2	5	4	10	5
ENSG00000008517	IL32	2	7	27	8	2	5	3	3	4	0	8	2	0	28	3	6
ENSG00000008710	PKD1	1132	1518	1105	1531	961	1076	1186	966	1288	3970	1156	2527	2528	1113	4001	1241
ENSG00000008735	MAPK8IP2	961	784	466	770	1023	1220	1086	993	1430	1799	1200	1267	1331	526	1785	1419
ENSG00000008838	MED24	1599	2048	1414	2145	1242	1672	1629	1250	1893	2499	1690	1941	2072	1387	2499	1935
ENSG00000008853	RHOBTB2	696	663	526	613	674	703	669	699	978	737	771	274	319	567	748	918
ENSG00000008869	HEATR5B	568	629	474	674	529	513	537	548	740	1020	541	819	790	480	1051	748
ENSG00000008952	SEC62	2021	2254	2189	2293	1943	2268	1955	1869	2814	2706	2292	1982	1986	2135	2727	2807
ENSG00000008988	RPS20	2939	2760	4874	2808	2276	2677	2883	2387	3972	3392	2728	4406	4318	4986	3518	3890
ENSG00000009307	CSDE1	7085	8515	7834	8567	6434	7465	7325	6534	10211	11169	7370	14902	14913	7885	11322	10195
ENSG00000009335	UBE3C	624	819	752	807	714	771	704	690	923	564	711	357	384	782	554	966
ENSG00000009413	REV3L	1484	3133	2266	3094	1424	1421	1468	1496	1604	2261	1349	778	778	2152	2196	1536
ENSG00000009694	TENM1	100	181	429	178	166	155	132	165	137	357	158	205	200	408	349	184
ENSG00000009709	PAX7	199	13	48	27	16	75	160	16	75	7	62	262	289	57	10	87
ENSG00000009724	MASP2	79	108	69	100	53	73	70	66	87	136	74	54	60	50	160	95
ENSG00000009765	IYD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000009780	FAM76A	185	262	165	241	180	185	197	157	241	147	174	111	114	167	170	216
ENSG00000009790	TRAF3IP3	2	3	2	2	0	2	0	2	0	4	1	5	8	0	4	0
ENSG00000009830	POMT2	634	782	457	781	459	581	538	451	697	571	525	555	562	471	588	747
ENSG00000009844	VTA1	1137	1192	912	1198	1033	1210	1097	1066	1688	907	1175	750	768	956	964	1660
ENSG00000009950	MLXIPL	9	11	5	7	7	10	9	10	15	26	10	14	16	9	22	7
ENSG00000009954	BAZ1B	2200	2754	1931	2622	1795	2120	2223	1878	3153	2723	2241	2646	2655	1997	2749	3094
ENSG00000010017	RANBP9	841	1146	859	1100	746	924	890	747	1195	1109	969	1137	1245	902	1143	1126
ENSG00000010030	ETV7	2	3	4	0	3	6	3	0	2	4	2	3	0	6	3	2
ENSG00000010072	SPRTN	184	227	146	229	148	161	152	161	249	136	179	63	80	159	141	237
ENSG00000010165	EEF1AKNMT	406	477	429	556	378	438	475	372	582	430	453	296	293	430	440	568
ENSG00000010219	DYRK4	150	187	260	168	175	189	179	181	241	224	192	225	222	268	256	260
ENSG00000010244	ZNF207	1819	2199	1642	2197	1436	1661	1763	1453	2192	2157	1709	2337	2361	1685	2278	2277
ENSG00000010256	UQCRC1	2084	2234	1792	2309	1888	2096	2147	1876	2855	2044	2194	2241	2158	1875	2060	2858
ENSG00000010270	STARD3NL	727	829	825	833	938	938	835	910	1469	1070	913	1242	1318	783	1079	1437
ENSG00000010278	CD9	455	525	515	552	211	603	489	212	341	103	586	150	123	538	88	321
ENSG00000010282	HHATL	0	0	1	1	0	0	0	1	2	0	2	0	0	0	0	0
ENSG00000010292	NCAPD2	1000	1801	1033	1772	745	899	994	739	1401	1085	899	1465	1513	1141	1037	1400
ENSG00000010295	IFFO1	263	312	199	305	167	223	237	213	240	463	194	292	308	222	457	248
ENSG00000010310	GIPR	97	93	33	98	47	84	78	38	34	228	85	202	209	33	237	40
ENSG00000010318	PHF7	94	94	79	106	76	84	67	78	107	161	69	98	96	69	150	113
ENSG00000010319	SEMA3G	4	11	10	8	4	5	5	4	5	14	6	3	4	5	11	5
ENSG00000010322	NISCH	2168	2802	2179	2864	2083	2437	2342	2175	2748	3767	2519	2779	2698	2073	3847	2803
ENSG00000010327	STAB1	1	5	2	1	3	0	2	5	2	3	0	3	4	3	5	6
ENSG00000010361	FUZ	205	327	161	317	196	172	216	138	261	188	150	173	169	177	190	263
ENSG00000010379	SLC6A13	5	4	28	3	2	16	2	1	7	1	22	5	1	37	0	7
ENSG00000010404	IDS	1829	2331	1929	2430	2095	2320	1801	2013	2594	3450	2286	1800	1879	1883	3553	2478
ENSG00000010438	PRSS3	0	0	2	1	2	5	1	0	2	5	5	1	0	0	1	2
ENSG00000010539	ZNF200	160	188	115	189	122	155	147	122	249	138	140	39	37	112	136	236
ENSG00000010610	CD4	23	41	24	35	19	10	32	15	37	71	14	47	80	27	83	29
ENSG00000010626	LRRC23	395	468	256	466	532	289	396	478	380	283	301	209	219	205	276	427
ENSG00000010671	BTK	0	2	2	0	6	4	5	3	5	8	2	9	6	0	10	5
ENSG00000010704	HFE	8	14	11	12	3	19	13	6	7	4	14	2	3	13	5	8
ENSG00000010803	SCMH1	459	546	615	510	455	547	464	450	616	777	595	761	799	608	717	654
ENSG00000010810	FYN	3263	5797	3206	5678	3291	3304	3334	3256	3790	3389	3335	1691	1807	3194	3403	3692
ENSG00000010818	HIVEP2	859	1178	857	1237	779	848	944	763	1057	1063	841	538	590	879	1041	1000
ENSG00000010932	FMO1	10	16	25	14	9	4	15	7	10	2	6	1	4	35	3	6
ENSG00000011007	ELOA	662	791	612	728	574	656	600	591	933	1229	590	1649	1576	589	1191	924
ENSG00000011009	LYPLA2	440	387	364	429	397	504	461	405	654	377	518	365	372	369	378	622
